LCLid,cluster,Acorn,Acorn_grouped,stdorToU
MAC002794,1,ACORN-F,Comfortable,ToU
MAC002795,2,ACORN-F,Comfortable,ToU
MAC002796,2,ACORN-I,Comfortable,Std
MAC002797,2,ACORN-C,Affluent,ToU
MAC002798,2,ACORN-E,Affluent,ToU
MAC002799,2,ACORN-F,Comfortable,Std
MAC002800,2,ACORN-E,Affluent,ToU
MAC002801,2,ACORN-P,Adversity,Std
MAC002802,2,ACORN-Q,Adversity,Std
MAC002803,2,ACORN-Q,Adversity,Std
MAC002804,1,ACORN-E,Affluent,Std
MAC002805,1,ACORN-D,Affluent,Std
MAC002806,2,ACORN-L,Adversity,Std
MAC002807,1,ACORN-E,Affluent,Std
MAC002808,2,ACORN-Q,Adversity,Std
MAC002809,2,ACORN-E,Affluent,ToU
MAC002810,1,ACORN-E,Affluent,Std
MAC002811,1,ACORN-E,Affluent,ToU
MAC002812,2,ACORN-D,Affluent,Std
MAC002813,2,ACORN-A,Affluent,Std
MAC002814,1,ACORN-E,Affluent,ToU
MAC002815,2,ACORN-E,Affluent,Std
MAC002816,2,ACORN-N,Adversity,Std
MAC002817,1,ACORN-E,Affluent,Std
MAC002818,1,ACORN-F,Comfortable,Std
MAC002819,1,ACORN-Q,Adversity,Std
MAC002820,1,ACORN-D,Affluent,Std
MAC002821,2,ACORN-Q,Adversity,Std
MAC002822,2,ACORN-H,Comfortable,Std
MAC002823,1,ACORN-L,Adversity,Std
MAC002824,1,ACORN-Q,Adversity,Std
MAC002825,2,ACORN-Q,Adversity,Std
MAC002826,2,ACORN-E,Affluent,ToU
MAC002827,2,ACORN-E,Affluent,ToU
MAC002828,1,ACORN-H,Comfortable,Std
MAC002829,2,ACORN-C,Affluent,Std
MAC002830,2,ACORN-P,Adversity,Std
MAC002831,2,ACORN-E,Affluent,Std
MAC002832,2,ACORN-Q,Adversity,Std
MAC002833,2,ACORN-M,Adversity,ToU
MAC002834,2,ACORN-F,Comfortable,Std
MAC002835,2,ACORN-E,Affluent,Std
MAC002836,2,ACORN-G,Comfortable,ToU
MAC002837,2,ACORN-F,Comfortable,Std
MAC002838,2,ACORN-Q,Adversity,Std
MAC002839,1,ACORN-E,Affluent,ToU
MAC002840,1,ACORN-Q,Adversity,Std
MAC002841,2,ACORN-E,Affluent,Std
MAC002842,2,ACORN-J,Comfortable,Std
MAC002843,2,ACORN-K,Adversity,Std
MAC002844,1,ACORN-H,Comfortable,Std
MAC002845,2,ACORN-L,Adversity,ToU
MAC002846,2,ACORN-Q,Adversity,Std
MAC002847,2,ACORN-G,Comfortable,Std
MAC002848,2,ACORN-K,Adversity,ToU
MAC002849,0,ACORN-H,Comfortable,Std
MAC002850,2,ACORN-L,Adversity,Std
MAC002851,1,ACORN-D,Affluent,Std
MAC002852,0,ACORN-Q,Adversity,Std
MAC002853,1,ACORN-E,Affluent,Std
MAC002854,2,ACORN-Q,Adversity,Std
MAC002855,1,ACORN-F,Comfortable,ToU
MAC002856,1,ACORN-Q,Adversity,Std
MAC002857,2,ACORN-L,Adversity,Std
MAC002858,2,ACORN-E,Affluent,Std
MAC002859,1,ACORN-C,Affluent,Std
MAC002860,2,ACORN-E,Affluent,Std
MAC002861,2,ACORN-K,Adversity,ToU
MAC002862,1,ACORN-C,Affluent,Std
MAC002863,2,ACORN-P,Adversity,Std
MAC002864,1,ACORN-E,Affluent,ToU
MAC002865,1,ACORN-E,Affluent,Std
MAC002866,2,ACORN-L,Adversity,Std
MAC002867,2,ACORN-Q,Adversity,Std
MAC002868,2,ACORN-J,Comfortable,ToU
MAC002869,0,ACORN-E,Affluent,ToU
MAC002870,2,ACORN-O,Adversity,Std
MAC002871,2,ACORN-N,Adversity,Std
MAC002872,0,ACORN-F,Comfortable,Std
MAC002873,2,ACORN-F,Comfortable,Std
MAC002874,1,ACORN-F,Comfortable,ToU
MAC002875,2,ACORN-Q,Adversity,Std
MAC002876,2,ACORN-E,Affluent,Std
MAC002877,2,ACORN-L,Adversity,Std
MAC002878,2,ACORN-Q,Adversity,Std
MAC002879,2,ACORN-E,Affluent,ToU
MAC002880,1,ACORN-E,Affluent,Std
MAC002881,1,ACORN-E,Affluent,ToU
MAC002882,2,ACORN-Q,Adversity,Std
MAC002883,2,ACORN-K,Adversity,Std
MAC002884,1,ACORN-D,Affluent,Std
MAC002885,2,ACORN-D,Affluent,Std
MAC002886,2,ACORN-P,Adversity,ToU
MAC002887,2,ACORN-Q,Adversity,Std
MAC002888,2,ACORN-E,Affluent,Std
MAC002889,2,ACORN-H,Comfortable,Std
MAC002890,2,ACORN-F,Comfortable,Std
MAC002891,2,ACORN-D,Affluent,ToU
MAC002892,2,ACORN-K,Adversity,Std
MAC002893,2,ACORN-O,Adversity,Std
MAC002894,1,ACORN-F,Comfortable,ToU
MAC002895,2,ACORN-E,Affluent,ToU
MAC002896,1,ACORN-E,Affluent,Std
MAC002897,1,ACORN-E,Affluent,ToU
MAC002898,2,ACORN-Q,Adversity,Std
MAC002899,2,ACORN-Q,Adversity,Std
MAC002900,1,ACORN-L,Adversity,Std
MAC002901,1,ACORN-E,Affluent,ToU
MAC002902,2,ACORN-P,Adversity,Std
MAC002903,2,ACORN-N,Adversity,Std
MAC002904,2,ACORN-F,Comfortable,Std
MAC002905,2,ACORN-Q,Adversity,Std
MAC002906,2,ACORN-Q,Adversity,Std
MAC002907,2,ACORN-E,Affluent,Std
MAC002908,2,ACORN-H,Comfortable,Std
MAC002909,2,ACORN-F,Comfortable,ToU
MAC002910,2,ACORN-O,Adversity,ToU
MAC002911,2,ACORN-Q,Adversity,Std
MAC002912,1,ACORN-H,Comfortable,Std
MAC002913,0,ACORN-M,Adversity,Std
MAC002914,2,ACORN-E,Affluent,Std
MAC002915,1,ACORN-H,Comfortable,ToU
MAC002916,2,ACORN-Q,Adversity,Std
MAC002917,2,ACORN-Q,Adversity,Std
MAC002918,1,ACORN-F,Comfortable,ToU
MAC002919,1,ACORN-E,Affluent,Std
MAC002920,1,ACORN-E,Affluent,Std
MAC002921,2,ACORN-E,Affluent,Std
MAC002922,2,ACORN-F,Comfortable,Std
MAC002923,0,ACORN-H,Comfortable,Std
MAC002924,1,ACORN-A,Affluent,Std
MAC002925,2,ACORN-H,Comfortable,ToU
MAC002926,2,ACORN-M,Adversity,ToU
MAC002927,1,ACORN-F,Comfortable,ToU
MAC002928,2,ACORN-D,Affluent,Std
MAC002929,1,ACORN-D,Affluent,Std
MAC002930,2,ACORN-E,Affluent,ToU
MAC002931,2,ACORN-D,Affluent,ToU
MAC002932,2,ACORN-F,Comfortable,ToU
MAC002933,2,ACORN-P,Adversity,Std
MAC002934,2,ACORN-Q,Adversity,Std
MAC002935,2,ACORN-E,Affluent,ToU
MAC002936,2,ACORN-Q,Adversity,Std
MAC002937,1,ACORN-A,Affluent,Std
MAC002938,2,ACORN-P,Adversity,Std
MAC002939,2,ACORN-E,Affluent,Std
MAC002940,2,ACORN-P,Adversity,Std
MAC002941,1,ACORN-E,Affluent,Std
MAC002942,1,ACORN-F,Comfortable,Std
MAC002943,2,ACORN-E,Affluent,Std
MAC002944,2,ACORN-F,Comfortable,Std
MAC002945,2,ACORN-E,Affluent,Std
MAC002946,2,ACORN-D,Affluent,Std
MAC002947,2,ACORN-E,Affluent,Std
MAC002948,2,ACORN-Q,Adversity,Std
MAC002949,1,ACORN-E,Affluent,Std
MAC002950,1,ACORN-Q,Adversity,Std
MAC002951,2,ACORN-H,Comfortable,ToU
MAC002952,1,ACORN-K,Adversity,Std
MAC002953,1,ACORN-E,Affluent,Std
MAC002954,2,ACORN-N,Adversity,ToU
MAC002955,1,ACORN-E,Affluent,Std
MAC002956,1,ACORN-F,Comfortable,Std
MAC002957,2,ACORN-F,Comfortable,Std
MAC002958,2,ACORN-Q,Adversity,Std
MAC002959,1,ACORN-A,Affluent,ToU
MAC002960,1,ACORN-F,Comfortable,Std
MAC002961,2,ACORN-K,Adversity,Std
MAC002962,1,ACORN-H,Comfortable,Std
MAC002963,2,ACORN-Q,Adversity,ToU
MAC002964,2,ACORN-F,Comfortable,Std
MAC002965,1,ACORN-D,Affluent,Std
MAC002966,2,ACORN-E,Affluent,Std
MAC002967,2,ACORN-Q,Adversity,Std
MAC002968,2,ACORN-E,Affluent,Std
MAC002969,1,ACORN-Q,Adversity,Std
MAC002970,2,ACORN-Q,Adversity,ToU
MAC002971,2,ACORN-E,Affluent,ToU
MAC002972,2,ACORN-E,Affluent,Std
MAC002973,2,ACORN-F,Comfortable,Std
MAC002974,2,ACORN-E,Affluent,Std
MAC002975,2,ACORN-N,Adversity,Std
MAC002976,2,ACORN-Q,Adversity,Std
MAC002977,2,ACORN-E,Affluent,Std
MAC002978,2,ACORN-D,Affluent,Std
MAC002979,2,ACORN-P,Adversity,Std
MAC002980,1,ACORN-E,Affluent,Std
MAC002981,2,ACORN-J,Comfortable,Std
MAC002982,2,ACORN-E,Affluent,ToU
MAC002983,1,ACORN-F,Comfortable,ToU
MAC002984,2,ACORN-F,Comfortable,Std
MAC002985,2,ACORN-M,Adversity,ToU
MAC002986,2,ACORN-P,Adversity,Std
MAC002987,2,ACORN-F,Comfortable,Std
MAC002988,2,ACORN-Q,Adversity,Std
MAC002989,1,ACORN-E,Affluent,Std
MAC002990,1,ACORN-E,Affluent,Std
MAC002991,2,ACORN-M,Adversity,Std
MAC002992,2,ACORN-P,Adversity,ToU
MAC002993,2,ACORN-Q,Adversity,Std
MAC002994,2,ACORN-F,Comfortable,Std
MAC002995,1,ACORN-F,Comfortable,ToU
MAC002996,2,ACORN-K,Adversity,Std
MAC002997,2,ACORN-Q,Adversity,ToU
MAC002998,1,ACORN-F,Comfortable,Std
MAC002999,2,ACORN-H,Comfortable,Std
MAC003000,1,ACORN-H,Comfortable,Std
MAC003001,2,ACORN-C,Affluent,Std
MAC003002,2,ACORN-H,Comfortable,Std
MAC003003,2,ACORN-Q,Adversity,Std
MAC003004,2,ACORN-E,Affluent,Std
MAC003005,1,ACORN-E,Affluent,Std
MAC003006,2,ACORN-E,Affluent,Std
MAC003007,2,ACORN-E,Affluent,Std
MAC003008,2,ACORN-L,Adversity,Std
MAC003009,2,ACORN-Q,Adversity,Std
MAC003010,2,ACORN-E,Affluent,Std
MAC003011,2,ACORN-E,Affluent,Std
MAC003012,1,ACORN-H,Comfortable,Std
MAC003013,2,ACORN-D,Affluent,Std
MAC003014,2,ACORN-E,Affluent,Std
MAC003015,2,ACORN-K,Adversity,Std
MAC003016,2,ACORN-E,Affluent,Std
MAC003017,2,ACORN-E,Affluent,Std
MAC003018,0,ACORN-D,Affluent,Std
MAC003019,2,ACORN-L,Adversity,ToU
MAC003020,1,ACORN-Q,Adversity,Std
MAC003021,2,ACORN-Q,Adversity,Std
MAC003022,2,ACORN-D,Affluent,Std
MAC003023,2,ACORN-Q,Adversity,Std
MAC003024,2,ACORN-Q,Adversity,Std
MAC003025,1,ACORN-J,Comfortable,Std
MAC003026,2,ACORN-N,Adversity,Std
MAC003027,2,ACORN-Q,Adversity,Std
MAC003028,1,ACORN-F,Comfortable,Std
MAC003029,2,ACORN-F,Comfortable,Std
MAC003030,2,ACORN-M,Adversity,Std
MAC003031,2,ACORN-Q,Adversity,Std
MAC003032,2,ACORN-Q,Adversity,Std
MAC003033,1,ACORN-C,Affluent,Std
MAC003034,2,ACORN-F,Comfortable,Std
MAC003035,2,ACORN-E,Affluent,ToU
MAC003036,2,ACORN-Q,Adversity,Std
MAC003037,2,ACORN-Q,Adversity,ToU
MAC003038,2,ACORN-Q,Adversity,Std
MAC003039,2,ACORN-E,Affluent,Std
MAC003040,2,ACORN-Q,Adversity,Std
MAC003041,2,ACORN-H,Comfortable,Std
MAC003042,2,ACORN-G,Comfortable,Std
MAC003043,2,ACORN-E,Affluent,ToU
MAC003044,2,ACORN-H,Comfortable,ToU
MAC003045,2,ACORN-Q,Adversity,ToU
MAC003046,2,ACORN-E,Affluent,Std
MAC003047,2,ACORN-Q,Adversity,ToU
MAC003048,2,ACORN-K,Adversity,Std
MAC003049,2,ACORN-L,Adversity,ToU
MAC003050,2,ACORN-F,Comfortable,Std
MAC003051,2,ACORN-H,Comfortable,Std
MAC003052,2,ACORN-E,Affluent,Std
MAC003053,2,ACORN-J,Comfortable,Std
MAC003054,2,ACORN-E,Affluent,Std
MAC003055,2,ACORN-E,Affluent,ToU
MAC003056,2,ACORN-E,Affluent,Std
MAC003057,2,ACORN-F,Comfortable,Std
MAC003058,2,ACORN-E,Affluent,Std
MAC003059,2,ACORN-Q,Adversity,Std
MAC003060,2,ACORN-Q,Adversity,Std
MAC003061,0,ACORN-C,Affluent,ToU
MAC003062,2,ACORN-O,Adversity,Std
MAC003063,2,ACORN-D,Affluent,Std
MAC003064,2,ACORN-Q,Adversity,Std
MAC003065,1,ACORN-C,Affluent,Std
MAC003066,2,ACORN-E,Affluent,Std
MAC003067,1,ACORN-E,Affluent,Std
MAC003068,1,ACORN-E,Affluent,ToU
MAC003069,2,ACORN-F,Comfortable,ToU
MAC003070,2,ACORN-Q,Adversity,Std
MAC003071,2,ACORN-E,Affluent,Std
MAC003072,1,ACORN-A,Affluent,Std
MAC003073,2,ACORN-E,Affluent,Std
MAC003074,2,ACORN-K,Adversity,Std
MAC003075,2,ACORN-E,Affluent,Std
MAC003076,1,ACORN-K,Adversity,Std
MAC003077,2,ACORN-H,Comfortable,Std
MAC003078,1,ACORN-U,ACORN-U,Std
MAC003079,2,ACORN-L,Adversity,Std
MAC003080,2,ACORN-F,Comfortable,ToU
MAC003081,1,ACORN-H,Comfortable,Std
MAC003082,2,ACORN-E,Affluent,ToU
MAC003083,2,ACORN-E,Affluent,Std
MAC003084,2,ACORN-Q,Adversity,Std
MAC003085,1,ACORN-H,Comfortable,Std
MAC003086,2,ACORN-N,Adversity,Std
MAC003087,2,ACORN-P,Adversity,Std
MAC003088,2,ACORN-Q,Adversity,ToU
MAC003089,1,ACORN-L,Adversity,Std
MAC003090,1,ACORN-L,Adversity,Std
MAC003091,2,ACORN-H,Comfortable,Std
MAC003092,1,ACORN-G,Comfortable,Std
MAC003093,2,ACORN-D,Affluent,Std
MAC003094,2,ACORN-E,Affluent,ToU
MAC003095,1,ACORN-H,Comfortable,Std
MAC003096,2,ACORN-Q,Adversity,Std
MAC003097,2,ACORN-Q,Adversity,ToU
MAC003098,2,ACORN-E,Affluent,Std
MAC003099,2,ACORN-Q,Adversity,ToU
MAC003100,1,ACORN-D,Affluent,Std
MAC003101,2,ACORN-F,Comfortable,Std
MAC003102,2,ACORN-Q,Adversity,ToU
MAC003103,2,ACORN-E,Affluent,Std
MAC003104,2,ACORN-M,Adversity,Std
MAC003105,2,ACORN-E,Affluent,Std
MAC003106,2,ACORN-E,Affluent,Std
MAC003107,1,ACORN-M,Adversity,Std
MAC003108,2,ACORN-Q,Adversity,Std
MAC003109,1,ACORN-L,Adversity,Std
MAC003110,2,ACORN-A,Affluent,Std
MAC003111,2,ACORN-E,Affluent,ToU
MAC003112,1,ACORN-N,Adversity,Std
MAC003113,1,ACORN-E,Affluent,Std
MAC003114,1,ACORN-E,Affluent,Std
MAC003115,2,ACORN-E,Affluent,Std
MAC003116,2,ACORN-H,Comfortable,ToU
MAC003117,2,ACORN-Q,Adversity,Std
MAC003118,2,ACORN-F,Comfortable,Std
MAC003119,2,ACORN-H,Comfortable,Std
MAC003120,2,ACORN-H,Comfortable,ToU
MAC003121,1,ACORN-F,Comfortable,Std
MAC003122,1,ACORN-E,Affluent,Std
MAC003123,1,ACORN-Q,Adversity,Std
MAC003124,1,ACORN-E,Affluent,ToU
MAC003125,2,ACORN-F,Comfortable,Std
MAC003126,1,ACORN-F,Comfortable,Std
MAC003127,1,ACORN-L,Adversity,Std
MAC003128,1,ACORN-H,Comfortable,Std
MAC003129,2,ACORN-M,Adversity,Std
MAC003130,1,ACORN-E,Affluent,Std
MAC003131,2,ACORN-Q,Adversity,Std
MAC003132,2,ACORN-F,Comfortable,Std
MAC003133,1,ACORN-H,Comfortable,Std
MAC003134,2,ACORN-Q,Adversity,Std
MAC003135,1,ACORN-E,Affluent,ToU
MAC003136,1,ACORN-O,Adversity,Std
MAC003137,1,ACORN-C,Affluent,Std
MAC003138,2,ACORN-Q,Adversity,Std
MAC003139,2,ACORN-M,Adversity,Std
MAC003140,1,ACORN-G,Comfortable,ToU
MAC003141,1,ACORN-E,Affluent,Std
MAC003142,2,ACORN-H,Comfortable,Std
MAC003143,1,ACORN-M,Adversity,Std
MAC003144,1,ACORN-K,Adversity,Std
MAC003145,2,ACORN-H,Comfortable,ToU
MAC003146,2,ACORN-D,Affluent,Std
MAC003147,0,ACORN-E,Affluent,Std
MAC003148,1,ACORN-E,Affluent,Std
MAC003149,2,ACORN-K,Adversity,Std
MAC003150,2,ACORN-E,Affluent,Std
MAC003151,1,ACORN-J,Comfortable,ToU
MAC003152,2,ACORN-F,Comfortable,Std
MAC003153,1,ACORN-E,Affluent,Std
MAC003154,2,ACORN-H,Comfortable,Std
MAC003155,2,ACORN-Q,Adversity,ToU
MAC003156,2,ACORN-E,Affluent,ToU
MAC003157,1,ACORN-C,Affluent,ToU
MAC003158,1,ACORN-E,Affluent,Std
MAC003159,2,ACORN-E,Affluent,Std
MAC003160,2,ACORN-E,Affluent,Std
MAC003161,2,ACORN-Q,Adversity,Std
MAC003162,1,ACORN-K,Adversity,Std
MAC003163,1,ACORN-U,ACORN-U,Std
MAC003164,2,ACORN-L,Adversity,Std
MAC003165,1,ACORN-K,Adversity,ToU
MAC003166,0,ACORN-A,Affluent,Std
MAC003167,2,ACORN-N,Adversity,Std
MAC003168,1,ACORN-Q,Adversity,Std
MAC003169,2,ACORN-G,Comfortable,Std
MAC003170,1,ACORN-H,Comfortable,ToU
MAC003171,1,ACORN-H,Comfortable,Std
MAC003172,2,ACORN-L,Adversity,Std
MAC003173,1,ACORN-B,Affluent,Std
MAC003174,1,ACORN-G,Comfortable,Std
MAC003175,1,ACORN-L,Adversity,ToU
MAC003176,1,ACORN-I,Comfortable,Std
MAC003177,2,ACORN-N,Adversity,Std
MAC003178,2,ACORN-L,Adversity,ToU
MAC003179,2,ACORN-M,Adversity,Std
MAC003180,1,ACORN-J,Comfortable,ToU
MAC003181,2,ACORN-L,Adversity,Std
MAC003182,1,ACORN-A,Affluent,Std
MAC003183,1,ACORN-H,Comfortable,Std
MAC003184,1,ACORN-C,Affluent,Std
MAC003185,1,ACORN-M,Adversity,ToU
MAC003186,1,ACORN-I,Comfortable,Std
MAC003187,2,ACORN-G,Comfortable,Std
MAC003188,1,ACORN-H,Comfortable,Std
MAC003189,1,ACORN-L,Adversity,Std
MAC003190,2,ACORN-H,Comfortable,Std
MAC003191,2,ACORN-L,Adversity,Std
MAC003192,1,ACORN-L,Adversity,Std
MAC003193,1,ACORN-L,Adversity,Std
MAC003194,2,ACORN-M,Adversity,Std
MAC003195,1,ACORN-H,Comfortable,Std
MAC003196,2,ACORN-A,Affluent,ToU
MAC003197,1,ACORN-L,Adversity,Std
MAC003198,2,ACORN-H,Comfortable,ToU
MAC003199,1,ACORN-M,Adversity,Std
MAC003200,2,ACORN-J,Comfortable,Std
MAC003201,1,ACORN-C,Affluent,ToU
MAC003202,2,ACORN-J,Comfortable,ToU
MAC003203,2,ACORN-N,Adversity,Std
MAC003204,2,ACORN-C,Affluent,Std
MAC003205,2,ACORN-N,Adversity,Std
MAC003206,2,ACORN-H,Comfortable,Std
MAC003207,2,ACORN-O,Adversity,Std
MAC003208,2,ACORN-H,Comfortable,Std
MAC003209,2,ACORN-N,Adversity,Std
MAC003210,1,ACORN-H,Comfortable,Std
MAC003211,1,ACORN-A,Affluent,ToU
MAC003212,1,ACORN-A,Affluent,Std
MAC003213,1,ACORN-J,Comfortable,Std
MAC003214,1,ACORN-J,Comfortable,Std
MAC003215,2,ACORN-N,Adversity,Std
MAC003216,1,ACORN-H,Comfortable,Std
MAC003217,2,ACORN-N,Adversity,Std
MAC003218,0,ACORN-U,ACORN-U,Std
MAC003219,2,ACORN-H,Comfortable,Std
MAC003220,1,ACORN-C,Affluent,Std
MAC003221,2,ACORN-A,Affluent,ToU
MAC003222,1,ACORN-H,Comfortable,Std
MAC003223,1,ACORN-A,Affluent,Std
MAC003224,1,ACORN-L,Adversity,Std
MAC003225,1,ACORN-B,Affluent,Std
MAC003226,1,ACORN-M,Adversity,Std
MAC003227,2,ACORN-N,Adversity,Std
MAC003228,1,ACORN-G,Comfortable,Std
MAC003229,1,ACORN-D,Affluent,Std
MAC003230,1,ACORN-G,Comfortable,Std
MAC003231,1,ACORN-C,Affluent,Std
MAC003232,1,ACORN-N,Adversity,Std
MAC003233,2,ACORN-L,Adversity,Std
MAC003234,2,ACORN-G,Comfortable,Std
MAC003235,1,ACORN-C,Affluent,Std
MAC003236,2,ACORN-H,Comfortable,Std
MAC003237,1,ACORN-H,Comfortable,Std
MAC003238,2,ACORN-J,Comfortable,ToU
MAC003239,2,ACORN-A,Affluent,Std
MAC003240,1,ACORN-H,Comfortable,Std
MAC003241,1,ACORN-H,Comfortable,Std
MAC003242,2,ACORN-L,Adversity,Std
MAC003243,1,ACORN-N,Adversity,Std
MAC003244,1,ACORN-G,Comfortable,Std
MAC003245,2,ACORN-J,Comfortable,ToU
MAC003246,2,ACORN-P,Adversity,Std
MAC003247,1,ACORN-G,Comfortable,ToU
MAC003248,2,ACORN-I,Comfortable,Std
MAC003249,1,ACORN-N,Adversity,Std
MAC003250,1,ACORN-H,Comfortable,Std
MAC003251,2,ACORN-M,Adversity,Std
MAC003252,1,ACORN-A,Affluent,Std
MAC003253,1,ACORN-L,Adversity,Std
MAC003254,1,ACORN-L,Adversity,Std
MAC003255,1,ACORN-G,Comfortable,Std
MAC003256,1,ACORN-H,Comfortable,ToU
MAC003257,0,ACORN-A,Affluent,ToU
MAC003258,2,ACORN-L,Adversity,Std
MAC003259,1,ACORN-G,Comfortable,ToU
MAC003260,1,ACORN-C,Affluent,Std
MAC003261,1,ACORN-H,Comfortable,Std
MAC003262,2,ACORN-G,Comfortable,ToU
MAC003263,1,ACORN-L,Adversity,Std
MAC003264,1,ACORN-H,Comfortable,Std
MAC003265,2,ACORN-L,Adversity,ToU
MAC003266,2,ACORN-G,Comfortable,Std
MAC003267,1,ACORN-L,Adversity,Std
MAC003268,1,ACORN-O,Adversity,ToU
MAC003269,1,ACORN-J,Comfortable,ToU
MAC003270,2,ACORN-L,Adversity,Std
MAC003271,1,ACORN-H,Comfortable,Std
MAC003272,1,ACORN-H,Comfortable,ToU
MAC003273,1,ACORN-E,Affluent,Std
MAC003274,1,ACORN-G,Comfortable,ToU
MAC003275,2,ACORN-C,Affluent,Std
MAC003276,1,ACORN-G,Comfortable,Std
MAC003277,2,ACORN-L,Adversity,ToU
MAC003278,0,ACORN-C,Affluent,Std
MAC003279,1,ACORN-H,Comfortable,Std
MAC003280,1,ACORN-M,Adversity,Std
MAC003281,2,ACORN-A,Affluent,Std
MAC003282,2,ACORN-N,Adversity,Std
MAC003283,1,ACORN-C,Affluent,Std
MAC003284,2,ACORN-H,Comfortable,Std
MAC003285,0,ACORN-J,Comfortable,ToU
MAC003286,1,ACORN-A,Affluent,ToU
MAC003287,2,ACORN-C,Affluent,Std
MAC003288,2,ACORN-C,Affluent,Std
MAC003289,2,ACORN-L,Adversity,Std
MAC003290,1,ACORN-E,Affluent,Std
MAC003291,1,ACORN-L,Adversity,Std
MAC003292,1,ACORN-H,Comfortable,Std
MAC003293,1,ACORN-H,Comfortable,Std
MAC003294,1,ACORN-H,Comfortable,Std
MAC003295,1,ACORN-G,Comfortable,Std
MAC003296,1,ACORN-O,Adversity,Std
MAC003297,1,ACORN-L,Adversity,Std
MAC003298,0,ACORN-H,Comfortable,ToU
MAC003299,1,ACORN-C,Affluent,Std
MAC003300,1,ACORN-L,Adversity,Std
MAC003301,1,ACORN-O,Adversity,Std
MAC003302,1,ACORN-G,Comfortable,Std
MAC003303,1,ACORN-M,Adversity,Std
MAC003304,2,ACORN-G,Comfortable,Std
MAC003305,1,ACORN-A,Affluent,Std
MAC003306,2,ACORN-H,Comfortable,Std
MAC003307,1,ACORN-G,Comfortable,Std
MAC003308,2,ACORN-H,Comfortable,ToU
MAC003309,2,ACORN-J,Comfortable,Std
MAC003310,2,ACORN-L,Adversity,Std
MAC003311,2,ACORN-L,Adversity,Std
MAC003312,2,ACORN-E,Affluent,Std
MAC003313,2,ACORN-C,Affluent,Std
MAC003314,2,ACORN-H,Comfortable,Std
MAC003315,2,ACORN-L,Adversity,ToU
MAC003316,1,ACORN-L,Adversity,Std
MAC003317,1,ACORN-U,ACORN-U,Std
MAC003318,1,ACORN-H,Comfortable,Std
MAC003319,1,ACORN-C,Affluent,Std
MAC003320,1,ACORN-H,Comfortable,Std
MAC003321,1,ACORN-O,Adversity,ToU
MAC003322,1,ACORN-H,Comfortable,Std
MAC003323,1,ACORN-H,Comfortable,Std
MAC003324,1,ACORN-H,Comfortable,Std
MAC003325,1,ACORN-L,Adversity,Std
MAC003326,1,ACORN-L,Adversity,Std
MAC003327,2,ACORN-H,Comfortable,Std
MAC003328,2,ACORN-U,ACORN-U,Std
MAC003329,0,ACORN-J,Comfortable,Std
MAC003330,1,ACORN-H,Comfortable,Std
MAC003331,1,ACORN-H,Comfortable,ToU
MAC003332,1,ACORN-G,Comfortable,Std
MAC003333,1,ACORN-G,Comfortable,ToU
MAC003334,1,ACORN-H,Comfortable,ToU
MAC003335,2,ACORN-C,Affluent,Std
MAC003336,2,ACORN-C,Affluent,Std
MAC003337,1,ACORN-J,Comfortable,ToU
MAC003338,2,ACORN-L,Adversity,ToU
MAC003339,1,ACORN-C,Affluent,Std
MAC003340,1,ACORN-H,Comfortable,Std
MAC003341,2,ACORN-J,Comfortable,Std
MAC003342,1,ACORN-G,Comfortable,Std
MAC003343,1,ACORN-I,Comfortable,Std
MAC003344,0,ACORN-J,Comfortable,Std
MAC003345,1,ACORN-L,Adversity,Std
MAC003346,2,ACORN-L,Adversity,Std
MAC003347,0,ACORN-L,Adversity,ToU
MAC003348,1,ACORN-A,Affluent,Std
MAC003349,1,ACORN-C,Affluent,Std
MAC003350,1,ACORN-L,Adversity,Std
MAC003351,2,ACORN-L,Adversity,Std
MAC003352,0,ACORN-H,Comfortable,Std
MAC003353,0,ACORN-J,Comfortable,Std
MAC003354,1,ACORN-H,Comfortable,Std
MAC003355,1,ACORN-B,Affluent,Std
MAC003356,0,ACORN-J,Comfortable,Std
MAC003357,1,ACORN-C,Affluent,Std
MAC003358,2,ACORN-C,Affluent,ToU
MAC003359,2,ACORN-G,Comfortable,Std
MAC003360,2,ACORN-M,Adversity,ToU
MAC003361,2,ACORN-J,Comfortable,Std
MAC003362,2,ACORN-E,Affluent,Std
MAC003363,1,ACORN-G,Comfortable,Std
MAC003364,1,ACORN-D,Affluent,Std
MAC003365,2,ACORN-C,Affluent,ToU
MAC003366,2,ACORN-C,Affluent,ToU
MAC003367,2,ACORN-J,Comfortable,Std
MAC003368,2,ACORN-C,Affluent,Std
MAC003369,1,ACORN-L,Adversity,Std
MAC003370,2,ACORN-G,Comfortable,Std
MAC003371,1,ACORN-J,Comfortable,Std
MAC003372,1,ACORN-H,Comfortable,ToU
MAC003373,2,ACORN-O,Adversity,Std
MAC003374,1,ACORN-L,Adversity,Std
MAC003375,2,ACORN-H,Comfortable,Std
MAC003376,2,ACORN-O,Adversity,Std
MAC003377,2,ACORN-M,Adversity,Std
MAC003378,2,ACORN-E,Affluent,Std
MAC003379,2,ACORN-O,Adversity,ToU
MAC003380,1,ACORN-L,Adversity,Std
MAC003381,1,ACORN-N,Adversity,Std
MAC003382,2,ACORN-H,Comfortable,Std
MAC003383,1,ACORN-J,Comfortable,Std
