LCLid,cluster,Acorn,Acorn_grouped,stdorToU
MAC000234,1,ACORN-E,Affluent,Std
MAC000235,1,ACORN-E,Affluent,Std
MAC000236,2,ACORN-Q,Adversity,ToU
MAC000237,0,ACORN-E,Affluent,Std
MAC000238,2,ACORN-F,Comfortable,Std
MAC000239,2,ACORN-H,Comfortable,Std
MAC000240,1,ACORN-F,Comfortable,Std
MAC000241,2,ACORN-G,Comfortable,Std
MAC000242,2,ACORN-E,Affluent,Std
MAC000243,1,ACORN-F,Comfortable,Std
MAC000244,2,ACORN-F,Comfortable,Std
MAC000245,0,ACORN-L,Adversity,Std
MAC000246,1,ACORN-A,Affluent,Std
MAC000247,1,ACORN-F,Comfortable,ToU
MAC000248,1,ACORN-F,Comfortable,Std
MAC000249,0,ACORN-Q,Adversity,Std
MAC000250,2,ACORN-G,Comfortable,Std
MAC000251,1,ACORN-H,Comfortable,Std
MAC000252,0,ACORN-F,Comfortable,Std
MAC000253,1,ACORN-E,Affluent,Std
MAC000254,1,ACORN-H,Comfortable,Std
MAC000255,1,ACORN-K,Adversity,Std
MAC000256,0,ACORN-L,Adversity,Std
MAC000257,0,ACORN-E,Affluent,ToU
MAC000258,2,ACORN-K,Adversity,Std
MAC000259,1,ACORN-H,Comfortable,ToU
MAC000260,2,ACORN-G,Comfortable,Std
MAC000261,2,ACORN-F,Comfortable,ToU
MAC000262,1,ACORN-F,Comfortable,Std
MAC000263,2,ACORN-E,Affluent,Std
MAC000264,2,ACORN-E,Affluent,Std
MAC000265,2,ACORN-F,Comfortable,ToU
MAC000266,2,ACORN-O,Adversity,ToU
MAC000267,1,ACORN-K,Adversity,Std
MAC000268,2,ACORN-Q,Adversity,Std
MAC000269,2,ACORN-Q,Adversity,Std
MAC000270,1,ACORN-E,Affluent,Std
MAC000271,2,ACORN-F,Comfortable,Std
MAC000272,1,ACORN-H,Comfortable,Std
MAC000273,2,ACORN-E,Affluent,Std
MAC000274,0,ACORN-E,Affluent,Std
MAC000275,2,ACORN-E,Affluent,Std
MAC000276,1,ACORN-F,Comfortable,Std
MAC000277,1,ACORN-F,Comfortable,Std
MAC000278,2,ACORN-G,Comfortable,ToU
MAC000279,2,ACORN-F,Comfortable,Std
MAC000280,1,ACORN-E,Affluent,Std
MAC000281,2,ACORN-K,Adversity,Std
MAC000282,2,ACORN-E,Affluent,Std
MAC000283,2,ACORN-P,Adversity,Std
MAC000284,2,ACORN-E,Affluent,Std
MAC000285,2,ACORN-Q,Adversity,Std
MAC000286,1,ACORN-F,Comfortable,ToU
MAC000287,2,ACORN-E,Affluent,Std
MAC000288,1,ACORN-E,Affluent,ToU
MAC000289,2,ACORN-D,Affluent,Std
MAC000290,2,ACORN-K,Adversity,ToU
MAC000291,1,ACORN-D,Affluent,Std
MAC000292,2,ACORN-Q,Adversity,ToU
MAC000293,2,ACORN-Q,Adversity,ToU
MAC000294,1,ACORN-H,Comfortable,Std
MAC000295,2,ACORN-E,Affluent,Std
MAC000296,1,ACORN-E,Affluent,Std
MAC000297,2,ACORN-E,Affluent,Std
MAC000298,2,ACORN-E,Affluent,ToU
MAC000299,1,ACORN-E,Affluent,Std
MAC000300,1,ACORN-E,Affluent,Std
MAC000301,1,ACORN-E,Affluent,Std
MAC000302,2,ACORN-E,Affluent,Std
MAC000303,2,ACORN-L,Adversity,ToU
MAC000304,1,ACORN-E,Affluent,Std
MAC000305,2,ACORN-Q,Adversity,Std
MAC000306,2,ACORN-E,Affluent,Std
MAC000307,0,ACORN-E,Affluent,Std
MAC000308,2,ACORN-E,Affluent,Std
MAC000309,1,ACORN-E,Affluent,Std
MAC000310,2,ACORN-L,Adversity,Std
MAC000311,1,ACORN-D,Affluent,Std
MAC000312,0,ACORN-E,Affluent,Std
MAC000313,1,ACORN-Q,Adversity,Std
MAC000314,2,ACORN-F,Comfortable,Std
MAC000315,2,ACORN-E,Affluent,Std
MAC000316,2,ACORN-Q,Adversity,Std
MAC000317,2,ACORN-D,Affluent,Std
MAC000318,2,ACORN-Q,Adversity,Std
MAC000319,2,ACORN-F,Comfortable,Std
MAC000320,1,ACORN-E,Affluent,Std
MAC000321,0,ACORN-E,Affluent,Std
MAC000322,2,ACORN-D,Affluent,Std
MAC000323,1,ACORN-A,Affluent,Std
MAC000324,2,ACORN-E,Affluent,Std
MAC000325,2,ACORN-E,Affluent,Std
MAC000326,1,ACORN-D,Affluent,Std
MAC000327,1,ACORN-E,Affluent,Std
MAC000328,2,ACORN-F,Comfortable,ToU
MAC000329,2,ACORN-Q,Adversity,Std
MAC000330,2,ACORN-E,Affluent,Std
MAC000331,1,ACORN-E,Affluent,Std
MAC000332,2,ACORN-E,Affluent,Std
MAC000333,2,ACORN-Q,Adversity,Std
MAC000334,2,ACORN-Q,Adversity,Std
MAC000335,2,ACORN-E,Affluent,Std
MAC000336,2,ACORN-D,Affluent,ToU
MAC000337,2,ACORN-P,Adversity,Std
MAC000338,1,ACORN-E,Affluent,Std
MAC000339,1,ACORN-A,Affluent,ToU
MAC000340,2,ACORN-H,Comfortable,Std
MAC000341,2,ACORN-H,Comfortable,Std
MAC000342,1,ACORN-D,Affluent,ToU
MAC000343,2,ACORN-K,Adversity,Std
MAC000344,2,ACORN-E,Affluent,ToU
MAC000345,2,ACORN-E,Affluent,Std
MAC000346,2,ACORN-E,Affluent,Std
MAC000347,2,ACORN-F,Comfortable,Std
MAC000348,2,ACORN-G,Comfortable,Std
MAC000349,2,ACORN-E,Affluent,Std
MAC000350,2,ACORN-P,Adversity,Std
MAC000351,2,ACORN-E,Affluent,Std
MAC000352,1,ACORN-G,Comfortable,ToU
MAC000353,2,ACORN-E,Affluent,Std
MAC000354,1,ACORN-L,Adversity,ToU
MAC000355,2,ACORN-E,Affluent,Std
MAC000356,2,ACORN-E,Affluent,Std
MAC000357,1,ACORN-E,Affluent,Std
MAC000358,0,ACORN-E,Affluent,Std
MAC000359,1,ACORN-E,Affluent,Std
MAC000360,2,ACORN-H,Comfortable,Std
MAC000361,2,ACORN-E,Affluent,Std
MAC000362,2,ACORN-Q,Adversity,Std
MAC000363,2,ACORN-O,Adversity,Std
MAC000364,2,ACORN-Q,Adversity,Std
MAC000365,2,ACORN-Q,Adversity,Std
MAC000366,2,ACORN-F,Comfortable,ToU
MAC000367,2,ACORN-E,Affluent,Std
MAC000368,2,ACORN-E,Affluent,Std
MAC000369,1,ACORN-F,Comfortable,ToU
MAC000370,1,ACORN-E,Affluent,Std
MAC000371,2,ACORN-F,Comfortable,Std
MAC000372,1,ACORN-E,Affluent,Std
MAC000373,1,ACORN-L,Adversity,Std
MAC000374,2,ACORN-E,Affluent,Std
MAC000375,2,ACORN-H,Comfortable,Std
MAC000376,2,ACORN-E,Affluent,Std
MAC000377,2,ACORN-D,Affluent,Std
MAC000378,2,ACORN-E,Affluent,Std
MAC000379,0,ACORN-A,Affluent,Std
MAC000380,2,ACORN-E,Affluent,Std
MAC000381,1,ACORN-H,Comfortable,Std
MAC000382,2,ACORN-H,Comfortable,Std
MAC000383,2,ACORN-P,Adversity,ToU
MAC000384,2,ACORN-E,Affluent,ToU
MAC000385,2,ACORN-Q,Adversity,Std
MAC000386,1,ACORN-A,Affluent,Std
MAC000387,2,ACORN-E,Affluent,Std
MAC000388,1,ACORN-E,Affluent,Std
MAC000389,2,ACORN-E,Affluent,Std
MAC000390,1,ACORN-L,Adversity,Std
MAC000391,2,ACORN-Q,Adversity,Std
MAC000392,2,ACORN-Q,Adversity,ToU
MAC000393,1,ACORN-D,Affluent,Std
MAC000394,2,ACORN-H,Comfortable,Std
MAC000395,2,ACORN-L,Adversity,ToU
MAC000396,1,ACORN-E,Affluent,Std
MAC000397,2,ACORN-F,Comfortable,Std
MAC000398,1,ACORN-E,Affluent,Std
MAC000399,2,ACORN-F,Comfortable,Std
MAC000400,2,ACORN-E,Affluent,Std
MAC000401,2,ACORN-K,Adversity,ToU
MAC000402,2,ACORN-Q,Adversity,ToU
MAC000403,2,ACORN-E,Affluent,Std
MAC000404,2,ACORN-E,Affluent,Std
MAC000405,2,ACORN-H,Comfortable,Std
MAC000406,2,ACORN-I,Comfortable,ToU
MAC000407,2,ACORN-F,Comfortable,Std
MAC000408,2,ACORN-Q,Adversity,ToU
MAC000409,0,ACORN-E,Affluent,Std
MAC000410,2,ACORN-N,Adversity,Std
MAC000411,2,ACORN-F,Comfortable,Std
MAC000412,2,ACORN-Q,Adversity,Std
MAC000413,2,ACORN-E,Affluent,Std
MAC000414,2,ACORN-E,Affluent,Std
MAC000415,1,ACORN-E,Affluent,Std
MAC000416,1,ACORN-Q,Adversity,Std
MAC000417,2,ACORN-Q,Adversity,Std
MAC000418,2,ACORN-E,Affluent,ToU
MAC000419,2,ACORN-E,Affluent,Std
MAC000420,1,ACORN-E,Affluent,Std
MAC000421,2,ACORN-E,Affluent,ToU
MAC000422,2,ACORN-E,Affluent,Std
MAC000423,2,ACORN-Q,Adversity,Std
MAC000424,2,ACORN-E,Affluent,Std
MAC000425,1,ACORN-Q,Adversity,Std
MAC000426,2,ACORN-F,Comfortable,Std
MAC000427,2,ACORN-O,Adversity,Std
MAC000428,2,ACORN-L,Adversity,Std
MAC000429,2,ACORN-E,Affluent,Std
MAC000430,2,ACORN-Q,Adversity,Std
MAC000431,1,ACORN-C,Affluent,Std
MAC000432,2,ACORN-F,Comfortable,Std
MAC000433,2,ACORN-N,Adversity,ToU
MAC000434,2,ACORN-Q,Adversity,Std
MAC000435,2,ACORN-Q,Adversity,Std
MAC000436,2,ACORN-L,Adversity,Std
MAC000437,1,ACORN-E,Affluent,Std
MAC000438,2,ACORN-E,Affluent,Std
MAC000439,1,ACORN-F,Comfortable,ToU
MAC000440,1,ACORN-K,Adversity,Std
MAC000441,2,ACORN-E,Affluent,Std
MAC000442,2,ACORN-D,Affluent,Std
MAC000443,0,ACORN-E,Affluent,Std
MAC000444,2,ACORN-E,Affluent,Std
MAC000445,2,ACORN-F,Comfortable,Std
MAC000446,2,ACORN-H,Comfortable,Std
MAC000447,2,ACORN-G,Comfortable,ToU
MAC000448,2,ACORN-E,Affluent,Std
MAC000449,2,ACORN-Q,Adversity,Std
MAC000450,0,ACORN-A,Affluent,Std
MAC000451,1,ACORN-H,Comfortable,ToU
MAC000452,1,ACORN-H,Comfortable,Std
MAC000453,1,ACORN-G,Comfortable,Std
MAC000454,2,ACORN-E,Affluent,Std
MAC000455,0,ACORN-D,Affluent,Std
MAC000456,2,ACORN-D,Affluent,ToU
MAC000457,2,ACORN-Q,Adversity,Std
MAC000458,2,ACORN-E,Affluent,Std
MAC000459,2,ACORN-E,Affluent,Std
MAC000460,1,ACORN-Q,Adversity,Std
MAC000461,1,ACORN-H,Comfortable,ToU
MAC000462,1,ACORN-D,Affluent,Std
MAC000463,1,ACORN-E,Affluent,Std
MAC000464,2,ACORN-A,Affluent,ToU
MAC000465,2,ACORN-F,Comfortable,ToU
MAC000466,2,ACORN-L,Adversity,Std
MAC000467,2,ACORN-F,Comfortable,ToU
MAC000468,1,ACORN-F,Comfortable,Std
MAC000469,1,ACORN-E,Affluent,Std
MAC000470,2,ACORN-G,Comfortable,ToU
MAC000471,2,ACORN-Q,Adversity,Std
MAC000472,2,ACORN-Q,Adversity,Std
MAC000473,1,ACORN-E,Affluent,Std
MAC000474,2,ACORN-O,Adversity,Std
MAC000475,1,ACORN-E,Affluent,ToU
MAC000476,2,ACORN-F,Comfortable,Std
MAC000477,2,ACORN-M,Adversity,Std
MAC000478,1,ACORN-E,Affluent,ToU
MAC000479,2,ACORN-F,Comfortable,Std
MAC000480,0,ACORN-E,Affluent,Std
MAC000481,2,ACORN-P,Adversity,Std
MAC000482,2,ACORN-E,Affluent,Std
MAC000483,2,ACORN-N,Adversity,Std
MAC000484,2,ACORN-L,Adversity,Std
MAC000485,2,ACORN-E,Affluent,Std
MAC000486,2,ACORN-Q,Adversity,Std
MAC000487,1,ACORN-A,Affluent,ToU
MAC000488,2,ACORN-E,Affluent,Std
MAC000489,2,ACORN-E,Affluent,Std
MAC000490,1,ACORN-L,Adversity,Std
MAC000491,2,ACORN-O,Adversity,Std
